,Street,Area,City,Price,beds,baths,Url,Rent_per_room,lat,lng,avg_per_area
0,16 Clark Street,Manurewa,Auckland,625.0,3.0,1.0,https://www.myrent.co.nz/listings/M9RFMD,208.33333333333331,-37.014003100000004,174.8874217,206.42857142857142
1,697 Mount Albert Road,RoyalOak,Auckland,760.0,4.0,1.0,https://www.myrent.co.nz/listings/FYM1H1,190.0,-36.9116852,174.77323280000002,230.0
2,116 Arney Road,Remuera,Auckland,2000.0,4.0,3.0,https://www.myrent.co.nz/listings/WXJSVP,500.0,-36.8666024,174.7909905,369.0
3,2B/15 Nelson Street,AucklandCentral,Auckland,360.0,1.0,1.0,https://www.myrent.co.nz/listings/DK8QVH,360.0,-36.8466718,174.75996809999998,383.5460992907801
4,102/46 Rosedale Road,Rosedale,Auckland,635.0,2.0,2.0,https://www.myrent.co.nz/listings/S6XZKD,317.5,-36.736024,174.72967419999998,317.5
5,2/174B Upland Road,Remuera,Auckland,1000.0,2.0,2.0,https://www.myrent.co.nz/listings/ZF5JFB,500.0,-36.8699959,174.8081201,369.0
6,2/736 Mount Eden Road,MountEden,Auckland,725.0,3.0,1.0,https://www.myrent.co.nz/listings/UYHGNM,241.66666666666663,-36.895416499999996,174.7584317,346.75
7,5 Basra Drive,Henderson,Auckland,620.0,3.0,2.0,https://www.myrent.co.nz/listings/L9Z6VE,206.66666666666663,-36.8809984,174.614178,322.57575757575756
8,302/135 Vincent Street,AucklandCentral,Auckland,525.0,2.0,1.0,https://www.myrent.co.nz/listings/TUKEKI,262.5,-36.85421669999999,174.75905790000002,383.5460992907801
9,102/10 Flower Street,EdenTerrace,Auckland,520.0,2.0,1.0,https://www.myrent.co.nz/listings/6HA73B,260.0,-36.866755700000006,174.7605071,340.8333333333333
10,23 Titoki Street,TeAtatuPeninsula,Auckland,580.0,3.0,2.0,https://www.myrent.co.nz/listings/1BYAAL,193.33333333333331,-36.8547971,174.6488307,211.45833333333331
11,9C/25 Rutland Street,AucklandCentral,Auckland,385.0,1.0,1.0,https://www.myrent.co.nz/listings/92HJSU,385.0,-36.85214179999999,174.76536330000002,383.5460992907801
12,58 Renata Crescent,TeAtatuPeninsula,Auckland,645.0,3.0,1.0,https://www.myrent.co.nz/listings/CHCKKE,215.0,-36.834286799999994,174.6435801,211.45833333333331
13,70B Panorama Road,MountWellington,Auckland,320.0,1.0,1.0,https://www.myrent.co.nz/listings/QNTKAL,320.0,-36.9025951,174.830277,248.48484848484847
14,59 Calthorp Close,Favona,Auckland,520.0,3.0,1.0,https://www.myrent.co.nz/listings/66BJQ5,173.33333333333337,-36.96130429999999,174.80395769999998,178.33333333333334
15,,Redvale,Auckland,900.0,5.0,3.0,https://www.myrent.co.nz/listings/8EJS2E,180.0,-36.68209,174.6984292,180.0
16,303/207 Federal Street,AucklandCentral,Auckland,650.0,2.0,1.0,https://www.myrent.co.nz/listings/SG9RQF,325.0,-36.851191899999996,174.7610646,383.5460992907801
17,3/17 Panorama Road,MountWellington,Auckland,480.0,2.0,1.0,https://www.myrent.co.nz/listings/AKVSTZ,240.0,-36.9065815,174.8289321,248.48484848484847
18,11D/125A Hobson Street,AucklandCentral,Auckland,415.0,1.0,1.0,https://www.myrent.co.nz/listings/E3UTTY,415.0,-36.8501327,174.75994,383.5460992907801
19,9D/34 Kingston Street,AucklandCentral,Auckland,480.0,2.0,1.0,https://www.myrent.co.nz/listings/CZDIIU,240.0,-36.8473989,174.76231289999998,383.5460992907801
20,12 Appleby Place,MangereEast,Auckland,600.0,3.0,1.0,https://www.myrent.co.nz/listings/CBANTN,200.0,-36.9808351,174.82958019999998,127.5
21,3/4 Fleming Street,ManurewaEast,Auckland,490.0,2.0,1.0,https://www.myrent.co.nz/listings/FHC7KW,245.0,-37.0222188,174.90419530000003,220.83333333333331
22,3Y/15 Nelson Street,AucklandCentral,Auckland,560.0,1.0,1.0,https://www.myrent.co.nz/listings/VU1MAS,560.0,-36.8466718,174.75996809999998,383.5460992907801
23,29 Rosebank Road,Papatoetoe,Auckland,600.0,3.0,1.0,https://www.myrent.co.nz/listings/BNWGMG,200.0,-36.9714295,174.83859730000003,228.78571428571428
24,3/5 Pollen Street,GreyLynn,Auckland,700.0,2.0,2.0,https://www.myrent.co.nz/listings/BC3PKV,350.0,-36.8605404,174.7507759,347.33333333333337
25,17 Marconi Place,NewWindsor,Auckland,300.0,1.0,1.0,https://www.myrent.co.nz/listings/VPTM3L,300.0,-36.9089722,174.72156919999998,215.41666666666669
26,35 Hedge Row,Sunnyhills,Auckland,630.0,4.0,1.0,https://www.myrent.co.nz/listings/BFGKJN,157.5,-36.8981321,174.89514630000002,157.5
27,,Papatoetoe,Auckland,490.0,3.0,2.0,https://www.myrent.co.nz/listings/TCZTBF,163.33333333333334,-36.979478799999995,174.8542549,228.78571428571428
28,76 Albert Street,AucklandCentral,Auckland,440.0,2.0,1.0,https://www.myrent.co.nz/listings/UEXVRN,220.0,-36.8476529,174.764121,383.5460992907801
29,189 Manuka Road,Bayview,Auckland,630.0,4.0,2.0,https://www.myrent.co.nz/listings/4WZTXS,157.5,-36.7789785,174.7027158,193.5
30,201A St Johns Road,SaintJohns,Auckland,550.0,2.0,1.0,https://www.myrent.co.nz/listings/KNL1HD,275.0,-36.8745861,174.84295569999998,206.5
31,1/4 Amiria Street,SaintMarysBay,Auckland,700.0,2.0,1.0,https://www.myrent.co.nz/listings/BHTYHQ,350.0,-36.8412618,174.74396330000002,350.0
32,1315/430 Queen Street,AucklandCentral,Auckland,500.0,2.0,1.0,https://www.myrent.co.nz/listings/R2UTTL,250.0,-36.8543216,174.7633034,383.5460992907801
33,,Remuera,Auckland,550.0,1.0,1.0,https://www.myrent.co.nz/listings/YAHFBM,550.0,-36.8807382,174.7981463,369.0
34,,WestHarbour,Auckland,800.0,4.0,2.0,https://www.myrent.co.nz/listings/AEZYUH,200.0,-36.8187874,174.6296364,184.44444444444443
35,184 Symonds Street,EdenTerrace,Auckland,580.0,2.0,1.0,https://www.myrent.co.nz/listings/CKPNRK,290.0,-36.86371389999999,174.7615505,340.8333333333333
36,6I Tahora Avenue,Remuera,Auckland,870.0,3.0,2.0,https://www.myrent.co.nz/listings/PYT11H,290.0,-36.88237879999999,174.8114181,369.0
37,25 Hills Road,Otara,Auckland,200.0,4.0,2.0,https://www.myrent.co.nz/listings/QBFG7A,50.0,-36.9587788,174.8828149,90.0
38,4/318 Ellerslie-Panmure Highway,MountWellington,Auckland,470.0,2.0,1.0,https://www.myrent.co.nz/listings/HNTNBD,235.0,-36.897036,174.82694980000002,248.48484848484847
39,,Otara,Auckland,510.0,3.0,1.0,https://www.myrent.co.nz/listings/GU3A4C,170.0,-36.96239129999999,174.8748985,90.0
40,,Papatoetoe,Auckland,490.0,3.0,2.0,https://www.myrent.co.nz/listings/Q7KSVM,163.33333333333334,-36.979478799999995,174.8542549,228.78571428571428
41,,Ranui,Auckland,249.0,1.0,1.0,https://www.myrent.co.nz/listings/UHS5IL,249.0,-36.86385509999999,174.60240530000002,190.96666666666664
